,Data,ID,t_Atendimento_min,t_Projetos_min,t_Logado_min,Disp_%,Meta_Disp,Pontuação,Atraso
7870,2022-02-17,a1R3j000002b5jFEAQ,480,0,436,46,Não Bateu,-6,Sim
7871,2022-02-17,a1R3j000002b5jIEAQ,450,0,431,58,Não Bateu,-19,Sim
7872,2022-02-17,a1R3j000002b5jOEAQ,450,0,381,30,Não Bateu,-18,Sim
7873,2022-02-17,a1R3j000002b5jZEAQ,420,0,376,24,Não Bateu,-20,Sim
7874,2022-02-17,a1R3j000002b6K9EAI,450,0,394,35,Não Bateu,-18,Sim
7875,2022-02-17,a1R3j000002b6KFEAY,450,0,440,35,Não Bateu,-21,Sim
7876,2022-02-17,a1R3j000002b6KGEAY,390,0,375,43,Não Bateu,-13,Sim
7877,2022-02-17,a1R3j000002b6KLEAY,420,0,0,0,Não Bateu,-18,Não
7878,2022-02-17,a1R3j000002b6KSEAY,480,0,439,59,Não Bateu,-19,Sim
7879,2022-02-17,a1R3j000002b72jEAA,450,0,418,45,Não Bateu,-17,Sim
7880,2022-02-17,a1R3j000002b72pEAA,390,60,359,41,Não Bateu,-19,Sim
7881,2022-02-17,a1R3j000002b72rEAA,450,0,395,36,Não Bateu,-20,Sim
7882,2022-02-17,a1R3j000002b72wEAA,450,0,408,35,Não Bateu,-16,Sim
7883,2022-02-17,a1R3j000002b738EAA,450,0,396,35,Não Bateu,-21,Sim
7884,2022-02-17,a1R3j000002b73LEAQ,450,0,427,19,Não Bateu,-24,Sim
7885,2022-02-17,a1R3j000002b73REAQ,450,0,0,33,-,0,-
7886,2022-02-17,a1R3j000002b73TEAQ,450,0,0,33,-,0,-
7887,2022-02-17,a1R3j000002b73WEAQ,360,90,316,36,Não Bateu,-8,Sim
7888,2022-02-17,a1R3j000002b73ZEAQ,450,30,398,34,Não Bateu,-9,Sim
7889,2022-02-17,a1R3j000002b73fEAA,450,0,392,19,Não Bateu,-16,Sim
7890,2022-02-17,a1R3j000002b73kEAA,0,0,0,33,-,0,-
7891,2022-02-17,a1R3j000002b73rEAA,450,0,398,33,-,0,-
7892,2022-02-17,a1R3j000002b73uEAA,450,0,408,36,Não Bateu,-18,Sim
7893,2022-02-17,a1R3j000002b742EAA,390,0,375,22,Não Bateu,-23,Sim
7894,2022-02-17,a1R3j000002b744EAA,300,0,0,33,-,0,-
7895,2022-02-17,a1R3j000002b749EAA,390,60,360,38,Não Bateu,-20,Sim
7896,2022-02-17,a1R3j000002b7DREAY,450,0,410,35,Não Bateu,-19,Sim
7897,2022-02-17,a1R3j000002b8aSEAQ,480,0,0,33,-,0,-
7898,2022-02-17,a1R3j000002b8aTEAQ,450,0,137,24,Não Bateu,-12,Não
7899,2022-02-17,a1R3j000002b8aVEAQ,360,90,391,55,Não Bateu,-14,Sim
7900,2022-02-17,a1R3j000002b8aWEAQ,450,0,411,36,Não Bateu,-18,Sim
7901,2022-02-17,a1R3j000002b8aZEAQ,450,0,386,32,Não Bateu,-20,Sim
7902,2022-02-17,a1R3j000002b8aaEAA,450,0,427,39,Não Bateu,-14,Sim
7903,2022-02-17,a1R3j000002b8acEAA,420,0,0,33,-,0,-
7904,2022-02-17,a1R3j000002b8adEAA,450,0,392,36,Não Bateu,-20,Sim
7905,2022-02-17,a1R3j000002b8agEAA,480,0,434,45,Não Bateu,-17,Sim
7906,2022-02-17,a1R3j000002b8ajEAA,450,0,390,36,Não Bateu,-14,Sim
7907,2022-02-17,a1R3j000002b8apEAA,450,0,397,33,-,0,-
7908,2022-02-17,a1R3j000002b8arEAA,480,0,391,48,Não Bateu,-14,Sim
7909,2022-02-17,a1R3j000002b8asEAA,390,0,321,33,Não Bateu,-18,Sim
7910,2022-02-17,a1R3j000002b8auEAA,390,0,385,53,Não Bateu,-5,Sim
7911,2022-02-17,a1R3j000002b8avEAA,390,0,0,33,-,0,-
7912,2022-02-17,a1R3j000002b8ayEAA,0,480,0,33,-,0,-
7913,2022-02-17,a1R3j000002b8b0EAA,450,0,408,37,Não Bateu,-15,Sim
7914,2022-02-17,a1R3j000002b8b1EAA,450,0,426,38,Não Bateu,-16,Sim
7915,2022-02-17,a1R3j000002b8b3EAA,450,0,416,43,Não Bateu,-19,Sim
7916,2022-02-17,a1R3j000002b8bAEAQ,390,60,357,12,Não Bateu,-18,Sim
7917,2022-02-17,a1R3j000002b8bCEAQ,0,0,0,33,-,0,-
7918,2022-02-17,a1R3j000002b8bFEAQ,450,0,434,39,Não Bateu,-20,Sim
7919,2022-02-17,a1R3j000002b8bGEAQ,480,0,445,51,Não Bateu,-17,Sim
7920,2022-02-17,a1R3j000002b8bHEAQ,450,0,419,35,Não Bateu,-20,Sim
7921,2022-02-17,a1R3j000002b8bJEAQ,390,60,340,28,Não Bateu,-20,Não
7922,2022-02-17,a1R3j000002b8bKEAQ,450,0,380,34,Não Bateu,-20,Sim
7923,2022-02-17,a1R3j000002b8bPEAQ,390,0,361,36,Não Bateu,-16,Sim
7924,2022-02-17,a1R3j000002b8bQEAQ,450,0,437,46,Não Bateu,-15,Sim
7925,2022-02-17,a1R3j000002b8bREAQ,420,0,345,34,Não Bateu,-21,Sim
7926,2022-02-17,a1R3j000002b8bVEAQ,450,0,0,33,-,0,-
7927,2022-02-17,a1R3j000002b8bWEAQ,450,0,404,38,Não Bateu,-17,Sim
7928,2022-02-17,a1R3j000002b8bZEAQ,390,60,372,45,Não Bateu,-15,Sim
7929,2022-02-17,a1R3j000002b8baEAA,390,60,357,43,Não Bateu,-12,Sim
7930,2022-02-17,a1R3j000002b8bgEAA,450,0,398,36,Não Bateu,-14,Sim
7931,2022-02-17,a1R3j000002bAacEAE,450,0,433,39,Não Bateu,-19,Sim
7932,2022-02-17,a1R3j000002bAakEAE,0,0,0,33,-,0,-
7933,2022-02-17,a1R3j000002bAapEAE,450,0,407,42,Não Bateu,-16,Sim
